,id,ob_date,location,location_desc,location_coords,location_coords_type,location_elevation,location_province,num_involved,num_injured,num_fatal,comment,group_activity,avalanche_obs,weather_obs,weather_comment,snowpack_obs,snowpack_comment,documents,alt_coord
10,9fcf2d9f-964b-4329-b3d2-54a7f1c6c9ee,2020-02-19,Joe Louis aux Mines Madeleine,Approximately 37km SE of Ste Anne des Monts,"[49.01584, -66.01389]",Lat/lng,800.0,QC,2.0,1.0,1,"2 personnes sur 4 ont été complètement enseveli par une avalanche de taille 2 dans Joe-Louis le 19 février. Une d'entre elle a été blessée et l'autre est décédée.

Two out of a party of four people were completely buried by a size 2 avalanche in Joe-Louis on February 19. One of them was injured and the other did not survive the incident.",Skiing,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'N', 'elevation': 800, 'slab_width': 100, 'slab_thickness': 80}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[None, None]"
11,3c2ecc57-f40c-4ae5-afeb-a2abd624d8a8,2020-02-13,Willmore Wilderness Park,"pproximately 50km SE of Grande Cache, Alberta","[53.50768, -118.78414]",Lat/lng,2100.0,AB,2.0,0.0,1,"A snowmobiler was caught in an avalanche in steep terrain while riding near Starlight Mountain in Willmore Wilderness Park approximately 50 km southeast of Grande Cache. The size 2.5 slab avalanche measured approximately 200 m wide by 300 m long and released on or close to the ground.

The victim was located and dug out of the snow by the other member of the group but could not be revived. Authorities were notified but were unable to mount a recovery until the following day due to the late hour and lack of daylight. The survivor spent the night in a nearby cabin and was aided out of the backcountry with assistance from RCMP and volunteers.",Snowmobiling,"[{'size': '2.5', 'type': 'S', 'trigger': 'Ma', 'aspect': 'N', 'elevation': 2100, 'slab_width': 200, 'slab_thickness': 150}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2020-02-20', 'title': 'Annotated overview', 'source': 'JNP VS', 'url': '/public/document/a1d7e37f-848a-4603-8dcf-8c98ed254119/2020/2/13/3c2ecc57-f40c-4ae5-afeb-a2abd624d8a8/Avalanche_outline.jpg'}, {'date': '2020-02-20', 'title': 'Overview', 'source': 'JNP VS', 'url': '/public/document/5e93d61e-7754-4567-8498-72abbc90c563/2020/2/13/3c2ecc57-f40c-4ae5-afeb-a2abd624d8a8/200214_Ma_Wilmore_Path_overview_2.JPG'}]","[-119.055839, 53.7013]"
12,c5b412c4-9857-44df-8d90-8385fac3948c,2020-02-02,Upper Burnt,"Approximately 65km SW of Chetwynd, BC","[55.27017, -122.310302]",Lat/lng,1600.0,BC,1.0,0.0,1,"Late in the afternoon on February 2, 2020 authorities received notification of an incident involving a snowmobiler who was missing after an avalanche had occurred. SAR efforts were hampered by poor weather and the risk of further avalanches. Eventually a snowmobile was observed in the avalanche debris where the missing person was reported but no transceiver signal was found. Probing and avalanche rescue dog teams were unable to locate the missing person. Active rescue efforts were suspended on February 8th. See attached information from Chetwynd RCMP for further details.

Preliminary investigation suggests the avalanche failed on a layer of faceted snow lying on a rain crust that formed in mid-November.

This report was created Feb 12, 2020 and will be updated if new information becomes available.",Snowmobiling,"[{'size': '2.5', 'type': 'S', 'trigger': 'Ma', 'aspect': 'SE', 'elevation': 1600, 'slab_width': None, 'slab_thickness': 130}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2020-02-12', 'title': 'RCMP Info Feb 10', 'source': 'Chetwynd RCMP', 'url': '/public/document/f6d67801-fb37-4607-8633-25eb35ca8676/2020/2/2/c5b412c4-9857-44df-8d90-8385fac3948c/RCMP_release_2020-02-10.jpg'}, {'date': '2020-02-12', 'title': 'Site Photo', 'source': 'SAR', 'url': '/public/document/3efa603f-0a84-4de1-83f5-81ba6c825f88/2020/2/2/c5b412c4-9857-44df-8d90-8385fac3948c/upper_burnt_2020-02-02_site_cropped.jpg'}]","[None, None]"
13,223dceb9-1d88-43ab-a893-f5728024802d,2020-01-10,Mount Hector,Approximately 16km NW of Lake Louise,"[51.555461, -116.27115]",Lat/lng,2300.0,AB,1.0,0.0,1,A party of three were skiing on a south-facing slope on Mt Hector in Banff National Park. A slab avalanche approximately 80 m wide was triggered. The crown tapered dramatically along the crest of the ridge from nearly 2 m in heavily wind-loaded drifts to as little as 40 cm. The avalanche ran for approximately 550 m and caught one person who was deeply buried by the debris. The victim was extricated by companion rescue and airlifted to hospital. She succumbed to her injuries and died the following day.,Skiing,"[{'size': '2.5', 'type': 'S', 'trigger': 'Sa', 'aspect': 'S', 'elevation': 2500, 'slab_width': 100, 'slab_thickness': 80}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}","The avalanche ran on a weak layer of facets and depth hoar near the base of the snowpack. The avalanche caused most of the snow to be removed from along its path, exposing the ground and scrubby trees in many places.","[{'date': '2020-01-23', 'title': 'Upper slide path', 'source': 'Parks Canada', 'url': '/public/document/352b2879-99a1-4f1e-a053-22c21827a094/2020/1/10/223dceb9-1d88-43ab-a893-f5728024802d/Image_posted_to_the_MIN_-_permission_to_distribute_granted.jpeg'}, {'date': '2020-01-23', 'title': 'Slide Path with burial location', 'source': 'Parks Canada - AvCan MIN', 'url': '/public/document/2b772234-b233-4914-8289-cc29402f5b18/2020/1/10/223dceb9-1d88-43ab-a893-f5728024802d/Slide_path_with_burial_location.jpg'}, {'date': '2020-01-23', 'title': 'Variable FL', 'source': 'Parks Canada', 'url': '/public/document/8d503049-1a7a-4f48-a3e2-f16775e683bf/2020/1/10/223dceb9-1d88-43ab-a893-f5728024802d/Variable_Crown.jpg'}]","[-116.2594444, 51.575]"
14,1953493c-cf2b-4d67-b934-72c69f987884,2020-01-04,Cabin Lake,Approx. 35km SW of Merritt,"[49.972113, -121.225966]",Lat/lng,1850.0,BC,1.0,0.0,1,"Two people were snowmobiling on a small but steep slope above Cabin Lake. A slab avalanche 300 metres wide with an average thickness of 60cm thick was triggered. The avalanche ran up to 175 metres and caught one person who was buried and did not survive. Storms had recently deposited significant amounts of new snow in the area, accompanied by strong south-westerly winds. Preliminary investigation found a layer of surface hoar 60-70cm deep on the bed surface of the slide. The presence of surface hoar and the significant propagation of the fracture line on a relatively small treeline feature suggest this was a Persistent Slab avalanche.",Snowmobiling,"[{'size': '2.5', 'type': 'S', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 1915, 'slab_width': 300, 'slab_thickness': 60}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",Weather stations west and north of the scene recorded 21-26mm overnight prior to the date of the incident.,"{'hs': 175, 'hn24': None, 'hst': None, 'hst_reset': None}",Fracture line profile carried out the day after the incident found a snow depth of 175cm  with a layer of surface hoar 70cm below the surface. Testing indicated moderate to hard results with a sudden planar fracture character.,[],"[-124.996667, 53.876389]"
15,5b97e577-add7-41a8-9fdd-6b1ff9a5d3a2,2019-12-30,Chuck Creek Parking Area,Approximately 140km south of Haines Junction YT,"[59.702282, -136.602223]",Lat/lng,1010.0,BC,3.0,1.0,2,A party of three snowboarders were climbing on foot on a slope near the highway. About 2/3 of the way up a slab avalanche approximately 1.5m deep by 50-100m wide was triggered. The avalanche ran approximately 150 metres into a terrain trap and and caught all three. Two were fully buried and one was partially buried. The partially buried person was able to self extricate and used a satellite messaging system to call for help.,Snowboarding,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 1150, 'slab_width': 75, 'slab_thickness': 150}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","A series of storms with significant precipitation, strong winds, and fluctuating temperatures had impacted the area in the days leading up to the incident. Weather at the time of the incident was described as heavy flurries, strong S-SW winds, and -1.0.","{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[None, None]"
16,49c180c3-aa8e-4f9e-805d-603e510a4485,2019-04-20,Yoho National Park,Mount Des Poilus,"[51.59123, -116.60428]",Lat/lng,3000.0,BC,3.0,0.0,1,A party of three backcountry skiers were involved in an avalanche on Des Poilus Glacier in Yoho National Park. The avalanche occurred on a southeast aspect at an elevation of 3000 m. The fracture depth was approximately 60 cm. One male patient was transferred by STARS Air Ambulance to Calgary where he passed away.,Backcountry Skiing,"[{'size': '3.0', 'type': 'S', 'trigger': 'Sa', 'aspect': None, 'elevation': 3000, 'slab_width': 210, 'slab_thickness': 60}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': 'SCT', 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2019-04-21', 'title': 'Parks Canada Statement', 'source': 'Parks Canada', 'url': '/public/document/c241eb82-ff64-4110-80a2-7efe81d95cb8/2019/4/20/49c180c3-aa8e-4f9e-805d-603e510a4485/FINAL_Fatality_Statement_Des_Polius_Incident_Yoho_National_Park_-_April_21_2019.pdf'}]","[-116.5, 51.5]"
17,bc4a88cc-7b79-4382-912d-f2ba5cd1f7ec,2019-04-16,Howse Peak,Banff National Park,"[51.813002, -116.669218]",Lat/lng,2100.0,AB,3.0,0.0,3,"A party of three ice climbers were attempting a difficult ice climbing route on the east face of Howse Peak in Banff National Park. The accident is believed to have occurred on the descent. All three climbers were caught in the avalanche and died. Due to the technical nature of the terrain and unfavourable weather conditions, the victim’s bodies were not recovered until April 21.

This is a preliminary report and will be updated when more information is available.",Ice Climbing,"[{'size': None, 'type': None, 'trigger': None, 'aspect': 'E', 'elevation': None, 'slab_width': None, 'slab_thickness': None}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"[{'date': '2019-04-21', 'title': 'Howse Peak 2', 'source': 'Parks Canada', 'url': '/public/document/74dd7170-474c-40d0-b452-e5a8c90585eb/2019/4/16/bc4a88cc-7b79-4382-912d-f2ba5cd1f7ec/Parks_Canada_Banff_NP_Howse_Peak_2.jpg'}, {'date': '2019-04-21', 'title': 'Howse Peak 1', 'source': 'Parks Canada', 'url': '/public/document/25c4ef56-46fc-4f4e-adc5-eb7c3ce30890/2019/4/16/bc4a88cc-7b79-4382-912d-f2ba5cd1f7ec/Parks_Canada_Banff_NP_Howse_Peak_1.jpg'}]","[-116.6808333, 51.8133333]"
18,37d909e4-c6de-43f1-8416-57a34cd48255,2019-03-16,Pharaoh Lake,"Approximately 25km WSW of Banff, AB","[51.114536, -115.914762]",Lat/lng,2400.0,AB,2.0,0.0,1,"A ski-tourer and split boarder triggered a persistent slab avalanche while ascending above Pharaoh Lake. Both were caught and partially buried. One person was able to extricate themselves and their partner, then obtained assistance from another party who were able to summon assistance via personal location devices. A Parks Canada Visitor Safety team evacuated the injured person who later succumbed to injuries in hospital.",Ski touring,"[{'size': '2.0', 'type': 'S', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 2400, 'slab_width': 80, 'slab_thickness': 50}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}",Nearest weather station temperature was about -4 at time of incident.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[-115.9105556, 51.1144444]"
19,53263a93-e674-4eda-999d-01e05fcf64ef,2019-03-11,Massey's Waterfall,Approximately 2km NE of Field BC,"[51.404092, -116.466891]",Lat/lng,1300.0,BC,5.0,0.0,1,"A naturally triggered wind slab released from a steep alpine feature above the Massey's waterfall on Mount Stephen near Field, BC. Massey’s is a very popular Grade 3 waterfall ice climb. The climb is at the bottom of a very large avalanche path, avalanches that start above on Mt. Stephen often funnel through the track and run right over the waterfall.

On the day of the incident the avalanche entrained loose faceted snow at and below treeline and ran over the waterfall striking a group of ice climbers at the base of waterfall. The group carried out a self-rescue but were limited because their packs that contained their rescue equipment were swept away. One injured person was evacuated by a Parks Canada Visitor Safety team and subsequently passed away in hospital.",Ice Climbing,"[{'size': '2.5', 'type': 'S', 'trigger': 'Na', 'aspect': 'N', 'elevation': 2400, 'slab_width': 50, 'slab_thickness': 35}]","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': 'X', 'wind_dir': None, 'sky': 'OVC', 'precip': 'NIL'}","After an extended period of drought, small amounts of new snow had been incrementally loading the snowpack in the Rockies. In general these amounts were not enough to trigger an avalanche cycle, and explosive tests in the Mt. Whymper area the day prior to the incident confirmed this with only small avalanches triggered. The significant difference was local accumulation of snow in the Yoho area the days prior to the avalanche, and then a significant wind event the night before and the morning of the avalanche.","{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,[],"[None, None]"
